,title,description,ingredients,preparation,tags,allergens,skill,time,author,link
0,Krem czekoladowy z nutą korzenną,"Oto ekspresowy pomysł na idealny, bardzo odżywczy i wartościowy krem korzenno - czekoladowy. Dodatkowo bajecznie pachnie świętami, jest przepyszny i bardzo uzależniający.  Krem genialnie komponuje się z pieczywem, goframi, naleśnikami oraz po prostu wyjadany prosto ze słoiczka.","[[3, 'Łyżki', 'Kakao DecoMorreno'], [500, 'Gramów', 'pestki słonecznika'], [2, 'Łyżki', 'miód'], ['0.5 Szklanki mleko roślinne'], [1, 'Łyżeczka', 'Przyprawa korzenna']]","['Na suchej patelni podpraż łuskane pestki słonecznika, do momentu - aż lekko się zarumieni.', 'Podprażony słonecznik przesyp do blendera i zmiel na drobny pył. Następnie dodaj pozostałe składniki, oprócz mleka i blenduj całość na gładki krem.', 'Dodawaj stopniowo mleko, aż do uzyskania odpowiedniej konsystencji.']","['dla rodziny', 'sól', 'na słodko', 'kakao decomorreno', 'kolacja', 'śniadanie', 'kakao', 'boże narodzenie', 'przystawki i przekąski', 'miód', 'grill i piknik', 'przyprawa korzenna', 'mleko roślinne', 'pestki słonecznika']",None,Łatwy,Do 15 min,decomorreno,http://uwielbiam.pl//przepis/krem-czekoladowy-z-nuta-korzenna
1,Ciasteczkowe choinki,"Bajkowo prezentujące się kremowe choinki to nie tylko doskonała jadalna dekoracja świątecznego stołu, ale także świetna alternatywa na podarunek dla bliskiej osoby. Podejrzyj i zainspiruj się naszą propozycją na pyszne kakaowe ciasteczka!","[['SKŁADNIKI NA CIASTO'], [25, 'Gramów', 'Kakao DecoMorreno'], [170, 'Gramów', 'mąka pszenna tortowa Lubella'], [150, 'Gramów', 'masło'], [70, 'Gramów', 'cukier puder'], [1, 'Sztuka', 'jajko'], ['SKŁADNIKI NA KREM'], [150, 'Gramów', 'masło'], [340, 'Gramów', 'cukier puder'], [3, 'Łyżki', 'mleko UHT 3,2%'], [2, 'Szczypty', 'zielony barwnik spożywczy']]","['Wszystkie składniki na ciasto zagnieć szybko. Owiń folią spożywczą i włóż do lodówki na minimum 30 minut, aż ciasto całkowicie się schłodzi.', 'Po wyjęciu ciasta z lodówki - rozwałkuj je na grubość około 4 mm. Następnie przygotuj 3 foremki lub szklanki, każdą nieco mniejszą.', 'Wycinaj ciastka w 3 rozmiarach. Układaj na blasze i piecz w temperaturze 170°C przez około 10-12 minut.', 'W misce ubij miękkie masło, na puszysty krem. Cały czas ubijając - stopniowo dodawaj do niego cukier puder. Pod koniec dodaj barwnik spożywczy oraz mleko w celu uzyskania odpowiedniej konsystencji (wszystkie składniki muszą być w tej samej temperaturze).', 'Przełóż krem do rękawa cukierniczego z końcówką gwiazdy. Przekładaj ciastka kremem, formując choinki. Na koniec udekoruj je kolorowymi  posypkami.']","['na słodko', 'masło', 'dla dzieci', 'deser', 'kakao decomorreno', 'cukier puder', 'jajko', 'kakao', 'boże narodzenie', 'przystawki i przekąski', 'mąka pszenna tortowa lubella', 'mleko uht 3,2%', 'zielony barwnik spożywczy']","['Gluten', 'Laktoza', 'Mleko', 'Jajka']",Łatwy,Do 1 godz,decomorreno,http://uwielbiam.pl//przepis/ciasteczkowe-choinki
2,Tort czekoladowy z kremem cynamonowym,"Poznaj naszą tortową propozycję super food, która idealnie sprawdzi się na świątecznym stole. Korzenna nuta uzyskana dzięki cynamonowi w połączeniu z mocno kakaowym smakiem DecoMorreno stanowi niezwykle świąteczną i aromatyczną kombinację, której nikt się nie oprze!","[['SKŁADNIKI SUCHE'], [120, 'Gramów', 'Kakao DecoMorreno'], [300, 'Gramów', 'mąka migdałowa'], [120, 'Gramów', 'mąka ziemniaczana'], [30, 'Gramów', 'mąka kokosowa'], [150, 'Gramów', 'Ksylitol'], [2, 'Łyżeczki', 'soda oczyszczona'], [1, 'Łyżeczka', 'Przyprawa korzenna'], [1, 'Łyżeczka', 'sól'], ['SKŁADNIKI MOKRE'], [4, 'Sztuki', 'Jajka'], [400, 'Gramów', 'Mleko kokosowe'], [150, 'Mililitrów', 'woda'], [100, 'Gramów', 'Olej kokosowy'], [1, 'Łyżka', 'sok z cytryny'], ['SKŁADNIKI NA KREM'], [2, 'Łyżki', 'Kakao DecoMorreno'], [1, 'Litr', 'śmietanka kokosowa'], [3, 'Łyżki', 'miód'], [1, 'Łyżeczka', 'cynamon']]","['W misce wymieszaj wszystkie suche składniki. Pamiętaj, że wszystkie składniki na ciasto powinny pozostawać w temperaturze pokojowej.', 'W małym rondelku podgrzej do rozpuszczenia olej kokosowy. W drugim naczyniu połącz wszystkie mokre składniki. Dodaj je do suchych, wymieszaj i przelej do formy wyłożonej papierem do pieczenia.', 'Ciasto piecz w temperaturze 180°C przez około 40 minut. Co jakiś czas sprawdzaj patyczkiem czy jest już w środku upieczone. Po wyjęciu z piekarnika odstaw je do wystudzenia.', 'Wystudzone ciasto przekrój na 3 blaty. Następnie bardzo dobrze schłodzoną śmietankę (jeśli oddzieli się od niej woda, to ją odlej) ubij na sztywno. Uwaga, może to potrwać trochę dłużej niż w przypadku klasycznej śmietany.', 'Cały czas ubijając, stopniowo dodawaj do śmietany kakao oraz miód. Następnie całość umieść w lodówce aby ją schłodzić.', 'Gdy blaty ciasta całkowicie wystygną - przełóż je kremem. Przed podaniem włóż tort do lodówki, na minimum 4 godziny.']","['sól', 'na słodko', 'wypieki', 'woda', 'deser', 'kakao decomorreno', 'jajka', 'sok z cytryny', 'kakao', 'boże narodzenie', 'mąka ziemniaczana', 'fit', 'miód', 'cynamon', 'uroczystości', 'soda oczyszczona', 'olej kokosowy', 'tort', 'mleko kokosowe', 'ksylitol', 'przyprawa korzenna', 'śmietanka kokosowa', 'mąka kokosowa', 'mąka migdałowa']",['Jajka'],Średni,Do 1 godz,decomorreno,http://uwielbiam.pl//przepis/tort-czekoladowy-z-kremem-cynamonowym
3,Ciasto barbórkowe z galaretką ,"Zainspiruj się naszym przepisem na bardzo lekkie i puszyste ciasto barbórkowe. Nasz przekładaniec stanowi niezwykle efektowne połączenie kakaowego biszkoptu z warstwą bogatego kremu, zrównoważonego smakiem lekko kwaskowej galaretki agrestowej. Wypróbuj koniecznie!","[[130, 'Gramów', 'mąka pszenna tortowa Lubella'], [30, 'Gramów', 'Kakao DecoMorreno'], [5, 'Sztuk', 'jajko'], [200, 'Gramów', 'cukier'], [4, 'Sztuki', 'Galaretka agrestowa'], [1800, 'Mililitrów', 'Gorąca woda'], [1, 'Litr', 'Śmietanka 36%'], [250, 'Gramów', 'serek mascarpone'], [50, 'Gramów', 'cukier puder']]","['Białka oddziel od żółtek i ubij na sztywną pianę. Cały czas ubijając dodawaj na przemian - cukier oraz żółtka.', 'Mąkę wymieszaj z połową kakao (15g). W ten sposób przygotowaną mieszankę przesiej do ubitych jajek, a następnie delikatnie wymieszaj całość.', 'Przełóż ciasto do formy (wymiary: 35 cm x 25 cm) wyłożonej papierem do pieczenia. Piecz je przez około 25 minut w temperaturze 180 C.', 'W międzyczasie wsyp po dwie galaretki do dwóch odzieolnych naczyń. Zalej je gorącą wodą (900 ml/naczynie) , rozmieszaj i pozostaw do przestudzenia.  Następnie jedną z misek włóż do lodówki aby szybciej się schłodziła. Drugą pozostaw w temperaturze pokojowej.', 'Na ostudzony biszkopt wylej tężejącą galaretkę. W następnym kroku włóż ciasto do lodówki, aby galaretka całkowicie stężała.', 'Następnie przygotuj krem. Ubij na sztywno śmietankę. Dodaj do niej cukier oraz stopniowo dodawaj mascarpone. Na koniec wsyp pozostałą porcję kakao. (15g).', 'Podziel krem na dwie części. Pierwszą połowę przełóż do rękawa cukierniczego i wyłóż na galaretkę. Wyrównaj powierzchnię i polej drugą tężejącą galaretką. Na koniec wyłóż na ciasto drugą warstwę kremu, a wierzch ciasta posyp obficie kakao.', 'Przygotowane ciasto włóż ponownie do lodówki, najlepiej pozostaw je tam na całą noc.']","['na słodko', 'cukier', 'wypieki', 'impreza', 'deser', 'kakao decomorreno', 'cukier puder', 'jajko', 'kakao', 'boże narodzenie', 'mąka pszenna tortowa lubella', 'uroczystości', 'serek mascarpone', 'śmietanka 36%', 'gorąca woda', 'galaretka agrestowa']","['Gluten', 'Jajka']",Średni,Do 1 godz,decomorreno,http://uwielbiam.pl//przepis/ciasto-barborkowe-z-galaretka
4,Paszteciki z grzybami i kapustą,None,"[['CIASTO'], [350, 'Gramów', 'mąka Lubella Puszysta luksusowa'], [200, 'Gramów', 'Ciepłe masło'], [50, 'Gramów', 'Masło roztopione'], [1, 'Sztuka', 'jaja kurze całe'], [7, 'Gramów', 'Drożdże suszone'], [1, 'Łyżeczka', 'cukier'], [1, 'Szczypta', 'sól'], ['FARSZ'], ['0.5 Szklanki woda'], [200, 'Gramów', 'kapusta kiszona'], [100, 'Gramów', 'pieczarki'], [30, 'Gramów', 'Masło klarowane'], [80, 'Gramów', 'grzyby suszone'], [1, 'Sztuka', 'cebula'], [2, 'Sztuki', 'jaja kurze całe'], [1, 'Łyżeczka', 'Suszone warzywa'], [1, 'Szczypta', 'sól, pieprz'], ['DODATKOWO'], [1, 'Sztuka', 'żółtko jaja kurzego'], [1, 'Łyżka', 'mleko UHT 3,2%']]","['Najpierw przygotować farsz. Grzyby zalać wrzątkiem na 30 minut, a następnie ugotować w tej samej wodzie.\nWyjąć z wywaru, posiekać.', 'Na maśle zrumienić pokrojoną cebulę, dodać posiekane pieczarki, chwilę podsmażyć, a następnie dodać drobno poszatkowaną kapustę, grzybki, doprawić suszoną włoszczyzną i zalać wodą. Dusić 15 minut, aż woda odparuje. Doprawić solą oraz pieprzem. Ostudzić. Wbić jajka, wymieszać.', 'Mąkę przesiać do dużej miski, wymieszać z cukrem solą, suszonym drożdżami. Kolejno wlać ciepłe mleko, roztopione masło, wbić jajko i wyrobić. Przykryć ściereczką i odstawić w ciepłe miejsce na około 1 godzinę.', 'Wyjąć ciasto na stolnicę lekko oprószoną mąką, chwilę ugniatać i podzielić na dwie części. Każdą część rozwałkować na podłużny placek.', 'Na środku ułożyć farsz, zawinąć w rulon, a następnie pokroić na kawałki (około 3-4 cm). Przełożyć na blaszkę wyłożoną papierem do pieczenia, zakryć ściereczką i odstawić na 30 minut.', 'Wierzch posmarować żółtkiem roztrzepanym z mlekiem i posypać sezamem.\nPiec w nagrzanym piekarniku na 180 stopni przez około 20 minut.']","['polska', 'obiad', 'dania główne', 'sól', 'cukier', 'cebula', 'jaja kurze całe', 'sól, pieprz', 'woda', 'tradycyjne', 'pieczarki', 'żółtko jaja kurzego', 'boże narodzenie', 'bez mięsa', 'mleko uht 3,2%', 'dieta wegetariańska', 'kapusta kiszona', 'grzyby suszone', 'masło klarowane', 'mąka lubella puszysta luksusowa', 'masło roztopione', 'sezam', 'drożdże suszone']",None,Łatwy,Ponad 3 godz,lubella,http://uwielbiam.pl//przepis/paszteciki-z-grzybami-i-kapusta
5,Sernik królewski,None,"[['KRUCHE CIASTO'], [300, 'Gramów', 'Lubella Mąka uniwersalna'], [30, 'Gramów', 'Kakao DecoMorreno'], [150, 'Gramów', 'Masło zimne'], [150, 'Gramów', 'Cukier drobny'], [2, 'Sztuki', 'jaja kurze całe'], [2, 'Łyżeczki', 'PROSZEK DO PIECZENIA'], [1, 'Szczypta', 'sól'], ['MASA SEROWA'], [1, 'Kilogram', 'Ser twarogowy'], [100, 'Gramów', 'Miękkie masło'], [2, 'Sztuki', 'budyń waniliowy'], [150, 'Gramów', 'cukier'], [4, 'Sztuki', 'jaja kurze całe']]","['Mąkę, kakao, proszek i cukier wymieszać, zrobić zagłębienie, dodać pokrojone na kawałki zimne masło, wbić jajka i zagnieść ciasto.\nOwinąć folią i wstawić do lodówki na 30 minut.', 'W międzyczasie przygotować masę serową. Ser utrzeć z żółtkami, cukrem i miękkim masłem. Wsypać budyń, wymieszać.', 'Ubić białka na sztywno ze szczyptą soli, delikatnie wmieszać do masy.', 'Następnie wyjąć ciasto z lodówki, odłożyć 1/3 ciasta do zamrażalnika, a pozostałą częścią ciasta wyłożyć spód tortownicy.', 'Kolejno wylać masę serową do tortownicy, a drugą część ciasta wyjąć z zamrażalnika i zetrzeć na tarce o grubych oczkach na wierzch.', 'Wstawić do piekarnika nagrzanego na 170 stopni i piec przez około 60 minut (sprawdzać patyczkiem).\nWyjąć z formy po całkowitym ostudzeniu.']","['polska', 'sól', 'na słodko', 'cukier', 'jaja kurze całe', 'wypieki', 'proszek do pieczenia', 'deser', 'kakao decomorreno', 'lubella mąka uniwersalna', 'tradycyjne', 'boże narodzenie', 'uroczystości', 'budyń waniliowy', 'ser twarogowy', 'cukier drobny', 'masło zimne']",None,Łatwy,Do 2 godz,lubella,http://uwielbiam.pl//przepis/sernik-krolewski-3
6,Pierniczki świąteczne z lukrem królewskim ,None,"[['CIASTO'], [500, 'Gramów', 'mąka Lubella Puszysta tortowa'], [30, 'Gramów', 'Kakao DecoMorreno'], [200, 'Gramów', 'miód'], [200, 'Gramów', 'Cukier trzcinowy'], [100, 'Gramów', 'masło extra'], [2, 'Sztuki', 'jaja kurze całe'], [20, 'Gramów', 'przyprawa do piernika'], [1, 'Łyżeczka', 'soda oczyszczona'], [1, 'Łyżeczka', 'PROSZEK DO PIECZENIA'], ['LUKIER KRÓLEWSKI'], [1, 'Sztuka', 'białko jaja kurzego'], ['1.5 Szklanki cukier puder']]","['Miód oraz masło przełożyć do rondelka i rozpuścić.', 'Do dużej miski przełożyć mąkę, kakao, przyprawę. sodę, proszek oraz cukier trzcinowy, następnie wbić jajka, wlać rozpuszczone masło z miodem i zagnieść.', 'Kiedy ciasto będzie jednolite i gładkie, zawinąć folią spożywczą i odstawić na 2-3 dni.', 'Po wyjęciu rozwałkować ciasto na grubość 2-3 mm.\nZa pomocą foremek wykrawać pierniczki.', 'Przełożyć na blaszkę wyłożoną papierem do pieczenia.\nPiec w 180 stopniach przez około 2-3 minuty (będą miękkie, lekko twardnieją po przestudzeniu)', 'Przygotować lukier. Białko z cukrem pudrem oraz sokiem z cytryny utrzeć do gładkości.', 'Przechowywać w szklanym/metalowym pojemniku.']","['polska', 'na słodko', 'jaja kurze całe', 'wypieki', 'proszek do pieczenia', 'deser', 'kakao decomorreno', 'cukier puder', 'sok z cytryny', 'masło extra', 'boże narodzenie', 'mąka lubella puszysta tortowa', 'miód', 'soda oczyszczona', 'białko jaja kurzego', 'przyprawa do piernika', 'cukier trzcinowy', 'ciasteczka']",None,Średni,Do 3 godz,lubella,http://uwielbiam.pl//przepis/pierniczki-swiateczne-z-lukrem-krolewskim
7,Uszka z grzybami,None,"[['CIASTO'], [300, 'Gramów', 'mąka Lubella Puszysta poznańska'], [200, 'Mililitrów', 'Gorąca woda'], [2, 'Łyżki', 'olej rzepakowy uniwersalny'], [1, 'Szczypta', 'sól'], ['FARSZ'], [40, 'Gramów', 'grzyby suszone'], [1, 'Sztuka', 'cebula'], [2, 'Sztuki', 'masło extra']]","['Mąkę przesiać do miski, połączyć z solą, wodą oraz olejem i wyrobić na gładkie ciasto.\nCiasto powinno być miękkie i elastyczne więc w razie potrzeby podlać odrobiną wody.\nPrzykryć ściereczką i odstawić na 30 minut, aby ciasto odpoczęło.', 'Suszone grzyby zalać wrzątkiem (wody wlać tyle, aby tylko zakryć grzyby) i odstawić na 30 minut.\nNastępnie podgotować 30 minut, odcedzić i posiekać.', 'Na rozgrzanym maśle zrumienić drobno pokrojoną cebulę, dodać grzyby i smażyć przez 2-3 minuty.\nNa koniec doprawić solą oraz pieprzem do smaku.', 'Ciasto wyłożyć na podsypaną mąką stolnicę, chwilę rozgniatać i podzielić na 4 części.\nKażdą z części rozwałkować na grubość około 2 mm, a następnie małą szklanką (średnica 4-5 cm) wykroić kółka.\nNa środku nałożyć po 1 łyżce farszu i dokładnie zlepić brzegi, a następnie zlepić ze sobą dwa końce.', 'Uszka gotować we wrzącej, osolonej wodzie.\nWyjmować łyżką cedzakową po około 1-2 minuty od wypłynięcia.\nPodawać z barszczem czerwonym.']","['polska', 'obiad', 'dla rodziny', 'dania główne', 'sól', 'cebula', 'sól, pieprz', 'masło extra', 'boże narodzenie', 'bez mięsa', 'bezmięsna', 'olej rzepakowy uniwersalny', 'grzyby suszone', 'mąka lubella puszysta poznańska', 'gorąca woda', 'tardycyjne']",None,Łatwy,Do 3 godz,lubella,http://uwielbiam.pl//przepis/uszka-z-grzybami
8,Tradycyjne pierogi z kapusta i grzybami ,None,"[['CIASTO:'], [350, 'Gramów', 'mąka Lubella Puszysta poznańska'], [1, 'Sztuka', 'jaja kurze całe'], [130, 'Mililitrów', 'Gorąca woda'], [1, 'Szczypta', 'sól'], ['FARSZ'], [700, 'Gramów', 'kapusta kiszona'], [50, 'Gramów', 'grzyby suszone'], [1, 'Sztuka', 'mała cebula']]","['Mąkę przesiać do miski, połączyć z solą, wodą oraz jajkiem i wyrobić na gładkie ciasto.', 'Ciasto powinno być miękkie i elastyczne więc w razie potrzeby podlać odrobiną wody.\nPrzykryć ściereczką i odstawić na 30 minut, aby ciasto odpoczęło.\nW tym czasie przygotować farsz.', 'Suszone grzyby zalać wrzątkiem (wody wlać tyle, aby zakryć grzyby) i odstawić na 30 minut.\nNastępnie podgotować 30 minut.', 'Na rozgrzanym maśle zrumienić drobno pokrojoną cebulę, dodać odciśniętą i poszatkowaną kapustę, grzyby (z wodą) i całość dusić 20 minut, kolejno odkryć i gotować przez kolejne 20 minut, aż płyn się odparuje.\nOstudzić.', 'Ciasto wyłożyć na podsypaną mąką stolnicę, chwilę rozgnieść i podzielić na 4 części.', 'Każdą z części rozwałkować na grubość około 2-3 mm, a następnie szklanką (średnica 6-7cm) wykrawać kółka.\nNa środku nałożyć po 1 łyżce farszu i dokładnie zlepić brzegi.', 'Pierogi gotować we wrzącej, osolonej wodzie.\nWyjmować łyżką cedzakową po około 2-2,5 minuty od wypłynięcia.']","['polska', 'obiad', 'dla rodziny', 'dania główne', 'sól', 'jaja kurze całe', 'masło', 'tradycyjne', 'boże narodzenie', 'bez mięsa', 'bezmięsna', 'kapusta kiszona', 'grzyby suszone', 'mąka lubella puszysta poznańska', 'gorąca woda', 'przepisy z reklamy', 'mała cebula']",None,Łatwy,Do 3 godz,lubella,http://uwielbiam.pl//przepis/tradycyjne-pierogi-z-kapusta-i-grzybami
9,Czekoladowo - miętowa mokka,"Czekolada i mięta to dwa niezwykle wyraziste smaki. Choć są tak od siebie różne to jednak świetnie się ze sobą komponują. Wypróbuj nasz czekoladowy pomysł na mokkę w akompaniamencie mięty pieprzowej. Mokka w takiej właśnie odsłonie - to połączenie delikatności i intensywności, które doskonale Cię pobudzi i doda pozytywnej energii na cały dzień.","[[1, 'Łyżka', 'Kakao DecoMorreno'], [60, 'Mililitrów', 'Espresso'], ['0.5 Szklanki mleko roślinne'], [5, 'Kropli', 'Ekstrakt'], [1, 'Łyżeczka', 'Ksylitol']]","['W rondelku podgrzej mleko wraz z kakao oraz ksylitolem (opcjonalnie).', 'Dodaj gorące espresso i ekstrakt miętowy.', 'Całość podawaj udekorowaną ubitą śmietanką kokosową.']","['na słodko', 'deser', 'kakao decomorreno', 'śniadanie', 'kakao', 'przystawki i przekąski', 'nowoczesne', 'ksylitol', 'coctail bezalkoholowy', 'mleko roślinne', 'śmietanka kokosowa', 'espresso', 'kawa mrożona']",None,Łatwy,Do 15 min,decomorreno,http://uwielbiam.pl//przepis/czekoladowo-mietowa-mokka
